year,samp_grp,district,bed_name,cpue,abundance,se,cv,l95,u95
2016,1,EKI,EK1,28024.955679122802,2753313.732442317,741381.1816810092,0.2692686899227316,1639262.987831981,4624478.54037222
2016,1,KSH,KSH1,28264.44585197211,3979326.1761423447,537160.7654772679,0.13498787023234282,3057904.212876679,5178395.304029185
2016,1,KSH,KSH2,5131.132195555596,108601.28521140743,44882.71042315983,0.4132797354634378,49867.51287890613,236511.47748654627
2016,1,KSH,KSH3,9298.261626727543,69129.13483791739,62770.941300502185,0.9080244016893477,15121.380259114034,316031.8173044183
2016,1,WKI,WK1,135179.4961408014,6580268.864936892,2554017.360035481,0.3881326754966835,3157756.0732412534,13712249.246159468
2016,2,EKI,EK1,254.63613082322377,25016.744497256776,8925.025991844697,0.3567620876019011,12693.980200138527,49301.91282590763
2016,2,KSH,KSH1,26713.082576889,3760911.1213567085,1147743.9339950315,0.30517709591100234,2095473.5770458847,6750002.77631029
2016,2,KSH,KSH2,52948.27191600387,1120659.1763084475,294362.7010384346,0.26266924615572407,675466.5411001835,1859273.425148174
2016,2,KSH,KSH3,17274.433496111844,128429.021503198,128429.021503198,1,25117.613974959655,656671.1941951241
2016,2,WKI,WK1,103771.1725221973,5051374.173747245,2568418.394420626,0.50845934315638,1973462.3750806681,12929752.989163345
2017,1,KNE,KNE2,9804.436771063296,1157517.8839425307,526204.2484961479,0.4545970786247249,494983.9522213964,2706850.6880552503
2017,1,KNE,KNE3,1245.0524629511342,122337.72201183716,31546.591418934713,0.2578647934598809,74401.97801323494,201157.53138153447
2017,1,KNE,KNE6,22075.714519831996,631414.4433534291,184818.01990003846,0.2927047707658915,359966.103903098,1107560.3923602917
2017,1,KSH,KSH1,23739.88936433088,3342317.8951026103,461077.65021300985,0.13795146502629566,2553724.749364032,4374429.513088731
2017,1,KSH,KSH2,14912.383830877732,315623.13888577843,162153.60493341275,0.5137570252480598,122234.79439539957,814972.253136629
2017,1,YAK,EK1,10432.692323657495,348123.2938019651,56114.88252818951,0.16119255311915803,254332.67922408925,476501.20329503744
2017,1,YAK,YAK1,96142.52040388632,5128535.273030528,1044082.4387078657,0.20358296923458652,3455066.2955933246,7612552.639080865
2017,1,YAK,YAK2,98374.67349817294,7735815.418870702,1339782.5490562406,0.17319215577300137,5522934.1892236285,10835334.650846155
2017,1,YAK,YAK4,44403.415430972746,5619728.227403021,875108.6600357931,0.1557208150687025,4149122.506947437,7611572.1570017245
2017,1,YAK,YAK5,65231.05944163053,3579476.1095881457,1012866.579807099,0.28296503421100894,2077675.6756063257,6166818.704932465
2017,2,KNE,KNE2,10341.434372190146,1220916.1536700793,412349.4043504542,0.3377376923967547,641099.2034324135,2325125.7314183945
2017,2,KNE,KNE3,156835.25860512283,15410489.79045404,8263168.697672641,0.5362041576894736,5753126.795241622,41278978.20331531
2017,2,KNE,KNE6,49644.78666361188,1419951.1100056928,501264.6622566907,0.35301543745029434,725369.0158965517,2779635.0693506156
2017,2,KSH,KSH1,90214.70805658969,12701248.456197092,3747687.836632972,0.2950645245274633,7209507.125323279,22376247.02240866
2017,2,KSH,KSH2,32875.02799079864,695805.5561800117,376100.1685307473,0.5405248135636425,257948.2501684769,1876908.9214397056
2017,2,YAK,EK1,362.4439470797165,12094.21084812952,3550.9355562671335,0.29360622208900206,6883.403188526082,21249.65399133245
2017,2,YAK,YAK1,33647.82566410506,1794877.6467916395,617261.2099298199,0.3439015528624919,932054.5882781564,3456434.6417775094
2017,2,YAK,YAK2,65279.77744602379,5133356.8991898885,1372247.1799814834,0.2673196520191382,3067392.3585143546,8590799.602572951
2017,2,YAK,YAK4,28172.746078373017,3565563.0280560656,975527.2242557674,0.27359696535433903,2105851.152084119,6037102.714718605
2017,2,YAK,YAK5,24866.997264016944,1364546.634466213,638148.562394676,0.4676634321437528,570715.257498375,3262550.7959866836
2018,1,EKI,EK1,24331.700351182088,2390469.6042209086,520031.3401190943,0.21754359026396433,1568349.4381865528,3643540.6482572122
2018,1,KAM,KAMN,9940.770139582291,897471.6156647544,162031.05521165865,0.1805417044767959,631787.7442755655,1274882.7564666893
2018,1,KAM,KAMS,1359.789272732499,92579.6616805431,41917.73685506252,0.45277478977731156,39712.56982680615,215825.71448444418
2018,1,KSH,KSH1,36304.574829563964,5111288.779182712,674260.116412677,0.13191587201232058,3951166.380063004,6612040.716893961
2018,1,YAK,YAK1,94382.36115020124,5034643.009953242,870179.013900227,0.17283827516269293,3596889.493991237,7047097.298934364
2018,1,YAK,YAK2,103701.81738526926,8154722.03736238,1026413.2861462309,0.1258673540855871,6378072.475877435,10426267.772614997
2018,1,YAK,YAK3,37530.55733635917,6251685.990500058,1032283.0153591841,0.1651207397376998,4533020.615900316,8621972.198123831
2018,2,EKI,EK1,475.08225397206166,46674.48929724297,15407.726123244738,0.3301102241338259,24849.524888761673,87667.99208075364
2018,2,KAM,KAMN,2500.9084356731287,225786.7652985978,79688.8926451658,0.3529387231345427,115356.98691668137,441929.5679144693
2018,2,KAM,KAMS,18461.205469896762,1256909.5748075212,388575.9448633767,0.30915186951526075,695233.1101538418,2272362.544547453
2018,2,KSH,KSH1,127483.91730754316,17948347.257042598,4316278.901449598,0.24048336259796682,11276939.671275698,28566541.867732298
2018,2,YAK,YAK1,89619.91505937403,4780599.610007942,1853329.9590946222,0.3876773020720602,2295970.984366709,9954016.312410792
2018,2,YAK,YAK2,76841.01922819945,6042489.5982834995,745365.4789968701,0.1233540359272786,4749096.641429224,7688131.72316835
2018,2,YAK,YAK3,23336.415732256737,3887284.220010668,1175816.9292194135,0.302477735784441,2176638.330011022,6942347.012269802
2019,1,KAM,KAMN,12222.82888995157,1103500.2155597187,201524.7393781811,0.18262319892340348,773737.4967648808,1573806.0140962477
2019,1,WKI,WK1,99203.46553426156,4829027.287311439,1792361.326330673,0.37116405016807635,2388119.240976796,9764799.06927104
2019,1,YAK,EK1,19052.441127074744,635751.3817487935,120716.78416291987,0.18988049043772126,439629.54245482036,919364.5566642891
2019,1,YAK,YAK3,63834.34230265002,10633262.381628577,1992730.9820660017,0.18740541806895555,7387856.095292237,15304340.991239209
2019,1,YAK,YAK4,71665.19451410726,9069998.616645467,1197136.8869681293,0.13198865154963932,7010370.4066744605,11734740.125518564
2019,1,YAK,YAK5,41156.62175910375,2258420.2310847077,536480.3422993212,0.23754673063730591,1426820.6909948504,3574704.216418679
2019,2,KAM,KAMN,16994.30754752625,1534278.3745750098,529683.5668836486,0.3452330265883916,794819.4402970984,2961691.6891320883
2019,2,WKI,WK1,17267.85274557284,840564.7086275221,306831.4294311318,0.3650301116402181,420257.79758896393,1681227.6498938783
2019,2,YAK,EK1,2362.376207082508,78828.95046603265,22206.988369415718,0.2817110749049576,45861.88278052632,135493.85796727022
2019,2,YAK,YAK3,29284.36947407338,4878069.908232606,1547111.2917407728,0.31715644114278657,2659018.364043045,8949004.020199109
2019,2,YAK,YAK4,42344.5180648349,5359152.694338512,1223988.656104279,0.22839219666148322,3444695.4028055556,8337607.3187324805
2019,2,YAK,YAK5,15408.661929046142,845531.8329620922,375172.29272181686,0.44371161214297766,368359.55026097345,1940832.211478513
2020,1,KNE,KNE1,33254.24845105531,1383443.244060803,438753.1411489264,0.3171457470572193,754124.6501767526,2537929.517472864
2020,1,KNE,KNE2,3638.0873801925613,429514.8517197095,205915.24267747888,0.47941355660468277,176119.81325115694,1047485.8248045081
2020,1,KNE,KNE3,14706.888455537122,1445085.476372583,702729.9941400205,0.48628956946131346,585756.7604313673,3565083.9650320285
2020,1,KNE,KNE4,798.5141245200629,16622.908084371506,13243.656197976448,0.7967111489010665,4206.784756452203,65684.62357330098
2020,1,KNE,KNE5,90325.2464260503,1991581.3584479832,830385.6246174406,0.41694787968117497,908673.6156235122,4365039.590806055
2020,1,KNE,KNE6,62429.11916677183,1785611.4008142245,632628.2917414121,0.35429225611627413,910075.3672978808,3503454.9766845023
2020,1,KSH,KSH1,147096.2887351542,20709555.575325385,4223322.109738244,0.20393108361872161,13942684.18283357,30760625.89551737
2020,2,KNE,KNE1,45196.323160358006,1880257.4361172137,656654.3607406005,0.34923641206100525,967056.6497786269,3655802.405043566
2020,2,KNE,KNE2,16941.597296327996,2000135.480594807,331943.8213448534,0.16596066844738877,1447935.8806370993,2762927.5537905456
2020,2,KNE,KNE3,19971.158487658045,1962347.8592430558,767581.4343534836,0.39115462161207537,936691.0594409383,4111077.053488852
2020,2,KNE,KNE4,6724.608719785197,139988.19710238438,103597.46050160381,0.7400442512009412,38330.85282482988,511251.2215037832
2020,2,KNE,KNE5,116073.76283699524,2559310.396792908,1036606.8411267969,0.4050336537630516,1192226.248268515,5493982.133546397
2020,2,KNE,KNE6,112664.16052700093,3222445.1055085966,847095.285601559,0.26287345722460725,1941558.4289154406,5348359.494808983
2020,2,KSH,KSH1,102936.20538262052,14492296.742596352,2176902.413504192,0.15021100189770137,10814030.701761229,19421681.948920567
2021,1,EKI,EK1,26181.538506039637,2572207.0832335595,459045.7684919644,0.17846376813288733,1817957.1486478322,3639386.8161072754
2021,1,WKI,WK1,144038.51618038025,7011508.331013711,1980217.8021926985,0.28242393914497455,4073845.711273421,12067528.463297555
2021,1,YAK,EK1,20625.615808902814,688245.8611193735,84302.81042853808,0.1224893823428545,541834.287222599,874219.9903516761
2021,1,YAK,YAK1,143168.07960619865,7637022.028837435,1013465.0859636236,0.13270422451798283,5894630.095122551,9894447.069241531
2021,1,YAK,YAK2,100435.15902674246,7897844.274016677,1132770.7102924665,0.14342783562081593,5970920.828295809,10446620.541512197
2021,1,YAK,YAK3,46557.80502673617,7755407.8087750515,3290519.349707007,0.4242870821033893,3493676.3955362123,17215776.01098276
2021,1,YAK,YAK4,28601.689653485908,3619850.435761727,843827.8858407334,0.23311125716805098,2306117.6119914213,5681981.313159975
2021,1,YAK,YAK5,23718.652754163613,1301532.6075014235,331421.081845083,0.2546390923553719,796337.632955361,2127222.2463011635
2021,2,EKI,EK1,4315.166512085554,423943.8360415011,95825.11603526528,0.2260325729229017,273714.15564421774,656627.9909585668
2021,2,WKI,WK1,41298.68699450398,2010337.8985053347,871791.1366622471,0.4336540326431765,891083.3980214518,4535443.568066064
2021,2,YAK,EK1,4201.957141255044,140213.0068679689,44063.063630880366,0.31425803222644094,76835.07815056696,255868.64448073748
2021,2,YAK,YAK1,72962.55354976485,3892045.142132784,839548.458531181,0.21570881833891592,2562397.650704204,5911656.7579729045
2021,2,YAK,YAK2,43516.21401956825,3421951.884696274,683819.4930128874,0.19983317008958526,2321853.822364196,5043278.172117263
2021,2,YAK,YAK3,17449.20027213452,2906616.06511905,2020580.468118269,0.6951659327718983,849026.508595047,9950710.448356234
2021,2,YAK,YAK4,35319.0676571454,4470006.632417035,938667.5433736307,0.20999242743093463,2974978.6689269403,6716336.995135268
2021,2,YAK,YAK5,5830.233612933625,319927.0732293972,111179.15385389744,0.3475140529109854,165056.019942937,620112.6879256725
2022,1,KAM,KAMN,28165.79241455079,2542861.254191233,680975.9863041588,0.26779911219369534,1518109.1471826064,4259340.226008945
2022,1,KNE,KNE1,27503.12381115941,1144184.9567918538,331838.18850365863,0.2900214572249664,655529.598650551,1997101.6076829531
2022,1,KNE,KNE2,8312.582316411042,981388.6220765238,349150.50633758976,0.3557719118434661,498860.2213034605,1930648.278639524
2022,1,KNE,KNE3,57842.96668293106,5683597.269165125,3289117.888059316,0.5787035450072382,1982142.4274099087,16297152.753181504
2022,1,KNE,KNE5,60297.96324166526,1329509.7915154772,891640.3054502337,0.6706534326715063,402653.3803742143,4389870.722289169
2022,1,KNE,KNE6,210926.1255408504,6032955.4464670215,2215116.9378392035,0.3671694507766347,3004810.500055268,12112760.993875206
2022,1,KSH,KSH1,156561.50269363011,22042154.624498785,4481800.230918703,0.20332859047896337,14856863.518322306,32702500.086315528
2022,2,KAM,KAMN,110575.7006172878,9982984.345559916,2934475.4349889173,0.29394771477269427,5678228.148749817,17551245.535217986
2022,2,KNE,KNE1,38812.18738254941,1614664.6194888204,583064.6248059467,0.3611057167961831,812965.6200126577,3206952.138256947
2022,2,KNE,KNE2,50001.3141016322,5903186.14365344,1219547.9091054494,0.20659147101715478,3954271.3018088024,8812649.407915343
2022,2,KNE,KNE3,1997.532789639251,196275.75415511423,81020.88458567254,0.412791100635093,90202.62544733219,427084.81574799016
2022,2,KNE,KNE5,63688.479753871754,1404267.2900931183,404010.33131367265,0.2877018742542115,807988.8860300889,2440586.3200846496
2022,2,KNE,KNE6,137853.5733085008,3942918.231555868,1030552.9946056788,0.2613680868038251,2382330.0045041866,6525797.91688903
2022,2,KSH,KSH1,305548.93105034204,43017962.06402902,7474818.366918757,0.17376040166182324,30678952.7177493,60319694.650841445
2023,1,EKI,EK1,21767.75339648272,2138574.4561801828,360922.5618590904,0.16876782607034066,1539833.464930572,2970126.8408480613
2023,1,WKI,WK1,109396.11784579582,5325185.318458827,1645985.7665461798,0.30909455129019775,2945823.4074031822,9626374.277787201
2023,1,YAK,YAK1,130068.46886308175,6938248.837986813,1359322.3407794666,0.1959172080045899,4742961.8271264415,10149627.741573226
2023,1,YAK,YAK2,159926.56316400028,12576025.202605117,2041178.4905070455,0.16230712467753455,9168154.561931744,17250626.48411932
2023,1,YAK,YAK3,26485.271737415238,4411807.71155179,668024.1478339295,0.15141733083352393,3284409.293953216,5926194.192527179
2023,1,YAK,YAK4,105589.17668968164,13363442.226053325,2478831.596799354,0.18549349448053373,9318726.308138723,19163733.56443538
2023,1,YAK,YAK5,58818.45780832209,3227592.2900823047,1272460.8594311364,0.394244608695198,1532272.55290843,6798628.593343527
2023,2,EKI,EK1,3793.4331219712303,372686.10260838206,59590.00415421072,0.15989328214051438,272958.9564406086,508849.14306758327
2023,2,WKI,WK1,60261.58416042626,2933413.9963770714,1312871.5150749038,0.4475575274053963,1269566.7619511937,6777837.867239078
2023,2,YAK,YAK1,14984.733941135239,799331.411858674,151340.08646409004,0.18933334061297688,553324.6470515063,1154712.1737458159
2023,2,YAK,YAK2,25757.826548331523,2025498.8879112347,685616.9016666629,0.33849285514725463,1062132.20720033,3862650.7294640797
2023,2,YAK,YAK3,325.4074217371041,54205.030888463465,21777.210971723543,0.40175626901742845,25396.155923217128,115694.09884325026
2023,2,YAK,YAK4,28838.552948150853,3649828.024876095,886515.4491791814,0.24289238921312656,2282831.921798866,5835403.1604192
2023,2,YAK,YAK5,2909.0988723850865,159633.30970348476,78730.21686498668,0.4931941648721452,63964.7013135311,398388.3773955503
